airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-06-24,Kolkata,Banglore,14:25:00,16:55:00,150,0,No Info,4804
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,19:40:00,345,1,No Info,14231
Air India,2019-05-27,Delhi,Cochin,13:30:00,23:00:00,570,1,No Info,8907
Air Asia,2019-05-21,Kolkata,Banglore,22:50:00,01:20:00,150,0,No Info,4107
Jet Airways,2019-04-27,Banglore,Delhi,17:45:00,20:45:00,180,0,In-flight meal not included,4544
Indigo,2019-03-24,Kolkata,Banglore,05:30:00,08:20:00,170,0,No Info,4778
Jet Airways,2019-03-24,Mumbai,Hyderabad,02:55:00,04:25:00,90,0,In-flight meal not included,2071
Multiple Carriers,2019-03-27,Delhi,Cochin,11:30:00,18:50:00,440,1,No Info,11200
Jet Airways,2019-06-01,Delhi,Cochin,20:55:00,04:25:00,450,1,In-flight meal not included,10262
Spicejet,2019-04-21,Kolkata,Banglore,09:00:00,11:25:00,145,0,No Info,4491
Indigo,2019-05-01,Chennai,Kolkata,11:35:00,14:00:00,145,0,No Info,4332
Air India,2019-05-21,Delhi,Cochin,17:15:00,07:40:00,865,2,No Info,13039
Jet Airways,2019-06-27,Delhi,Cochin,15:00:00,19:00:00,1680,1,In-flight meal not included,10262
Jet Airways,2019-05-21,Delhi,Cochin,09:50:00,13:05:00,195,0,In-flight meal not included,7202
Spicejet,2019-06-09,Delhi,Cochin,17:55:00,22:50:00,295,1,No Info,5409
Multiple Carriers,2019-06-09,Delhi,Cochin,08:00:00,21:00:00,780,1,No Info,7408
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,21:05:00,1685,1,No Info,13067
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,23:35:00,425,1,In-flight meal not included,9899
Goair,2019-05-27,Delhi,Cochin,07:00:00,12:55:00,355,1,No Info,5752
Jet Airways,2019-06-12,Banglore,Delhi,08:20:00,11:20:00,180,0,No Info,8016
Air India,2019-03-27,Delhi,Cochin,17:15:00,09:25:00,970,2,No Info,6057
Air India,2019-05-06,Kolkata,Banglore,09:25:00,01:20:00,955,2,No Info,11458
Spicejet,2019-06-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No check-in baggage included,1965
Jet Airways,2019-06-12,Delhi,Cochin,09:00:00,19:00:00,600,1,In-flight meal not included,10262
Vistara,2019-03-03,Banglore,Delhi,16:00:00,18:35:00,155,0,No Info,11793
Vistara,2019-03-12,Mumbai,Hyderabad,07:30:00,19:55:00,745,1,No Info,12080
Air India,2019-04-01,Kolkata,Banglore,17:30:00,08:55:00,925,1,No Info,7893
Indigo,2019-03-01,Mumbai,Hyderabad,02:30:00,04:00:00,90,0,No Info,16000
Air Asia,2019-06-12,Kolkata,Banglore,06:50:00,10:30:00,220,1,No Info,5162
Air India,2019-03-03,Banglore,Delhi,00:30:00,08:45:00,495,1,No Info,11392
Goair,2019-05-18,Banglore,Delhi,11:40:00,14:30:00,170,0,No Info,4340
Air Asia,2019-04-06,Kolkata,Banglore,22:50:00,01:20:00,150,0,No Info,3807
Spicejet,2019-06-15,Chennai,Kolkata,09:45:00,12:00:00,135,0,No check-in baggage included,3543
Multiple Carriers,2019-06-03,Delhi,Cochin,10:00:00,21:00:00,660,1,No Info,9718
Jet Airways,2019-05-21,Delhi,Cochin,02:15:00,12:35:00,620,1,In-flight meal not included,12898
Indigo,2019-06-15,Mumbai,Hyderabad,06:25:00,07:55:00,90,0,No Info,4049
Spicejet,2019-06-09,Banglore,Delhi,21:10:00,00:05:00,175,0,No Info,3971
Spicejet,2019-06-01,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,No Info,2753
Air India,2019-03-01,Banglore,Delhi,10:30:00,17:45:00,435,2,Change airports,17461
Multiple Carriers,2019-05-18,Delhi,Cochin,15:00:00,01:30:00,630,1,No Info,13727
Multiple Carriers,2019-05-27,Delhi,Cochin,08:00:00,19:00:00,660,1,No Info,10407
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,23:35:00,840,1,No Info,14151
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,08:15:00,800,1,No Info,14388
Indigo,2019-06-03,Kolkata,Banglore,20:25:00,23:10:00,165,0,No Info,4804
Air India,2019-03-12,Banglore,Delhi,08:50:00,16:20:00,1890,2,No Info,12778
Indigo,2019-03-01,Chennai,Kolkata,14:40:00,17:05:00,145,0,No Info,7295
Jet Airways,2019-06-12,Banglore,Delhi,08:20:00,11:20:00,180,0,In-flight meal not included,5769
Spicejet,2019-05-01,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No check-in baggage included,2385
Air India,2019-03-15,Banglore,Delhi,08:15:00,08:50:00,1475,1,No Info,5521
Spicejet,2019-05-12,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,No check-in baggage included,1965
Vistara,2019-05-01,Kolkata,Banglore,17:00:00,09:05:00,965,1,No Info,8452
Multiple Carriers,2019-03-09,Delhi,Cochin,07:05:00,22:20:00,915,1,No Info,6916
Multiple Carriers,2019-06-24,Delhi,Cochin,07:00:00,21:00:00,840,1,No Info,7618
Jet Airways,2019-03-09,Banglore,Delhi,05:45:00,11:25:00,340,1,In-flight meal not included,11087
Jet Airways,2019-03-06,Banglore,Delhi,08:00:00,19:10:00,670,1,No Info,16736
Air India,2019-06-06,Delhi,Cochin,05:10:00,08:00:00,170,0,No Info,5201
Indigo,2019-06-15,Banglore,Delhi,07:10:00,10:05:00,175,0,No Info,4823
Jet Airways,2019-06-01,Delhi,Cochin,02:15:00,12:35:00,620,1,No Info,14714
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,08:15:00,1430,1,In-flight meal not included,8586
Air India,2019-05-09,Delhi,Cochin,07:00:00,19:15:00,735,1,No Info,8669
Air India,2019-04-18,Banglore,Delhi,21:05:00,23:55:00,170,0,No Info,5228
Air India,2019-03-03,Delhi,Cochin,19:00:00,07:40:00,760,1,No Info,14777
Multiple Carriers,2019-05-21,Delhi,Cochin,08:00:00,21:00:00,780,1,No Info,14277
Air India,2019-06-12,Kolkata,Banglore,05:50:00,23:15:00,1045,2,No Info,12723
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,19:00:00,560,2,No Info,15129
Jet Airways,2019-06-09,Delhi,Cochin,16:00:00,04:25:00,745,1,In-flight meal not included,10577
Spicejet,2019-03-24,Banglore,Delhi,09:35:00,12:30:00,175,0,No check-in baggage included,3873
Jet Airways,2019-06-09,Delhi,Cochin,18:15:00,19:00:00,1485,1,In-flight meal not included,10577
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,23:35:00,910,1,No Info,13941
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,08:15:00,665,1,In-flight meal not included,8849
Jet Airways,2019-05-21,Delhi,Cochin,05:30:00,04:25:00,1375,2,No Info,15129
Spicejet,2019-03-21,Delhi,Cochin,08:45:00,13:15:00,270,1,No check-in baggage included,6356
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,12:00:00,1025,1,In-flight meal not included,10844
Air India,2019-05-27,Delhi,Cochin,06:50:00,07:40:00,1490,2,No Info,16163
Indigo,2019-05-01,Mumbai,Hyderabad,20:05:00,21:40:00,95,0,No Info,2227
Jet Airways,2019-06-24,Delhi,Cochin,21:50:00,04:25:00,395,1,In-flight meal not included,10262
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,21:05:00,1480,1,No Info,14151
Jet Airways,2019-06-27,Delhi,Cochin,22:50:00,12:35:00,825,1,In-flight meal not included,10262
Spicejet,2019-06-21,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,No check-in baggage included,2647
Indigo,2019-03-24,Chennai,Kolkata,07:55:00,10:15:00,140,0,No Info,4326
Jet Airways,2019-03-12,Banglore,Delhi,22:55:00,18:25:00,1170,1,In-flight meal not included,11087
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,19:50:00,345,1,No Info,13626
Jet Airways,2019-03-21,Banglore,Delhi,11:40:00,07:40:00,1200,1,In-flight meal not included,7832
Indigo,2019-06-24,Kolkata,Banglore,04:40:00,07:15:00,155,0,No Info,4804
Vistara,2019-06-18,Banglore,Delhi,09:45:00,12:35:00,170,0,No Info,4668
Goair,2019-05-18,Banglore,Delhi,20:55:00,23:40:00,165,0,No Info,4632
Air India,2019-05-24,Banglore,Delhi,21:05:00,23:55:00,170,0,No Info,5228
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,10:05:00,845,1,In-flight meal not included,8586
Jet Airways,2019-03-12,Banglore,Delhi,20:35:00,19:10:00,1355,1,In-flight meal not included,11087
Jet Airways,2019-03-18,Banglore,Delhi,11:40:00,18:25:00,405,1,No Info,12284
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,10:45:00,1065,1,No Info,9187
Jet Airways,2019-05-21,Delhi,Cochin,09:00:00,12:35:00,1655,1,In-flight meal not included,12898
Indigo,2019-05-27,Banglore,Delhi,07:10:00,10:05:00,175,0,No Info,4823
Indigo,2019-06-27,Kolkata,Banglore,09:35:00,12:10:00,155,0,No Info,4804
Jet Airways,2019-03-09,Delhi,Cochin,02:15:00,04:25:00,1570,1,No Info,15029
Vistara,2019-05-12,Delhi,Cochin,14:40:00,17:50:00,190,0,No Info,6216
Air India,2019-05-06,Banglore,Delhi,06:10:00,08:55:00,165,0,No Info,6121
Vistara,2019-03-06,Mumbai,Hyderabad,20:55:00,22:55:00,1560,1,No Info,12395
Spicejet,2019-03-03,Kolkata,Banglore,06:55:00,09:35:00,160,0,No Info,4622
Spicejet,2019-06-06,Delhi,Cochin,08:45:00,13:15:00,270,1,No check-in baggage included,5158
Indigo,2019-05-15,Delhi,Cochin,10:35:00,21:00:00,625,1,No Info,6979
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,18:15:00,1545,1,In-flight meal not included,10844
Air India,2019-05-24,Mumbai,Hyderabad,06:20:00,07:40:00,80,0,No Info,3100
Multiple Carriers,2019-03-27,Delhi,Cochin,18:15:00,01:35:00,440,1,No Info,12327
Spicejet,2019-05-01,Kolkata,Banglore,11:35:00,18:50:00,435,1,No Info,8479
Jet Airways,2019-06-06,Delhi,Cochin,21:50:00,04:25:00,395,1,In-flight meal not included,10262
Multiple Carriers,2019-06-03,Delhi,Cochin,08:00:00,19:00:00,660,1,No Info,12402
Multiple Carriers,2019-03-06,Delhi,Cochin,07:30:00,18:50:00,680,1,No Info,15411
Spicejet,2019-03-24,Kolkata,Banglore,11:15:00,18:15:00,420,1,No Info,12287
Goair,2019-06-18,Banglore,Delhi,07:45:00,10:40:00,175,0,No Info,3419
Air India,2019-03-24,Kolkata,Banglore,09:25:00,05:35:00,1210,2,No Info,13349
Jet Airways,2019-06-01,Delhi,Cochin,21:25:00,19:00:00,1295,2,No Info,13292
Jet Airways,2019-03-18,Banglore,Delhi,11:40:00,05:05:00,1045,1,No Info,13555
Jet Airways,2019-06-12,Banglore,Delhi,07:10:00,10:10:00,180,0,In-flight meal not included,5769
Spicejet,2019-06-21,Mumbai,Hyderabad,22:45:00,00:15:00,90,0,No Info,2017
Jet Airways,2019-03-06,Delhi,Cochin,16:00:00,19:45:00,1665,1,No Info,17024
Air India,2019-03-06,Mumbai,Hyderabad,19:30:00,20:45:00,75,0,No Info,5462
Multiple Carriers,2019-03-06,Delhi,Cochin,10:20:00,19:15:00,535,1,No Info,15353
Air India,2019-06-12,Delhi,Cochin,07:10:00,19:15:00,725,2,No Info,12488
Indigo,2019-05-09,Delhi,Cochin,11:25:00,21:00:00,575,1,No Info,6979
Jet Airways,2019-06-09,Delhi,Cochin,21:25:00,12:35:00,910,2,No Info,13292
Air India,2019-05-18,Delhi,Cochin,22:00:00,19:15:00,1275,2,No Info,11228
Air India,2019-03-24,Kolkata,Banglore,20:30:00,16:15:00,1185,1,No Info,12173
Jet Airways,2019-06-27,Delhi,Cochin,07:05:00,19:00:00,715,1,In-flight meal not included,10262
Jet Airways,2019-05-09,Banglore,Delhi,08:20:00,11:20:00,180,0,No Info,7229
Multiple Carriers,2019-06-27,Delhi,Cochin,10:00:00,19:15:00,555,1,No Info,14848
Spicejet,2019-03-24,Banglore,Delhi,09:35:00,12:30:00,175,0,No check-in baggage included,6205
Air India,2019-05-15,Kolkata,Banglore,16:45:00,08:55:00,970,2,No Info,14960
Vistara,2019-05-27,Banglore,Delhi,07:00:00,09:40:00,160,0,No Info,4668
Jet Airways,2019-05-24,Delhi,Cochin,19:10:00,19:00:00,1430,2,No Info,15129
Jet Airways,2019-05-12,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,In-flight meal not included,4050
Multiple Carriers,2019-03-27,Delhi,Cochin,06:00:00,13:20:00,440,1,No Info,7845
Spicejet,2019-03-21,Kolkata,Banglore,06:55:00,09:35:00,160,0,No Info,4148
Air Asia,2019-04-03,Kolkata,Banglore,19:55:00,22:25:00,150,0,No Info,4107
Indigo,2019-03-01,Kolkata,Banglore,14:20:00,16:55:00,155,0,No Info,6565
Jet Airways,2019-05-27,Delhi,Cochin,09:00:00,04:25:00,1165,1,In-flight meal not included,12898
Spicejet,2019-05-27,Banglore,Delhi,09:30:00,12:20:00,170,0,No Info,3625
Multiple Carriers,2019-03-27,Delhi,Cochin,13:05:00,21:20:00,495,2,No Info,6128
Vistara,2019-06-18,Chennai,Kolkata,07:05:00,09:20:00,135,0,No Info,3687
Spicejet,2019-05-01,Kolkata,Banglore,17:10:00,19:40:00,150,0,No check-in baggage included,3841
Spicejet,2019-06-15,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,No check-in baggage included,2647
Indigo,2019-03-21,Delhi,Cochin,07:45:00,13:40:00,355,1,No Info,6101
Indigo,2019-03-27,Delhi,Cochin,08:25:00,15:30:00,425,1,No Info,8075
Indigo,2019-03-24,Banglore,Delhi,10:10:00,13:00:00,170,0,No Info,5734
Jet Airways,2019-03-27,Delhi,Cochin,09:00:00,18:50:00,590,1,No Info,12032
Jet Airways,2019-03-06,Delhi,Cochin,02:15:00,04:25:00,1570,1,No Info,17024
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,22:05:00,750,1,No Info,14151
Jet Airways,2019-06-24,Delhi,Cochin,09:40:00,12:35:00,1615,2,In-flight meal not included,10368
Indigo,2019-06-06,Chennai,Kolkata,11:35:00,14:00:00,145,0,No Info,3858
Spicejet,2019-04-12,Kolkata,Banglore,09:00:00,11:25:00,145,0,No check-in baggage included,3841
Air India,2019-03-15,Mumbai,Hyderabad,06:20:00,07:40:00,80,0,No Info,3100
Indigo,2019-03-03,Chennai,Kolkata,07:55:00,10:15:00,140,0,No Info,7295
Air India,2019-06-06,Delhi,Cochin,16:40:00,19:15:00,1595,2,No Info,9653
Air India,2019-06-03,Delhi,Cochin,03:50:00,19:15:00,925,1,No Info,8669
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,19:00:00,1325,1,In-flight meal not included,12898
Indigo,2019-04-01,Banglore,Delhi,13:00:00,15:50:00,170,0,No Info,4591
Indigo,2019-05-12,Chennai,Kolkata,05:15:00,07:40:00,145,0,No Info,3540
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,04:25:00,450,1,In-flight meal not included,10262
Air India,2019-05-09,Delhi,Cochin,05:00:00,07:40:00,1600,2,No Info,11281
Jet Airways,2019-03-18,Banglore,Delhi,18:40:00,00:45:00,365,1,No Info,54826
Air Asia,2019-05-18,Kolkata,Banglore,07:35:00,19:25:00,710,1,No Info,5192
Jet Airways,2019-03-06,Banglore,Delhi,08:55:00,21:20:00,745,1,No Info,16736
Indigo,2019-05-03,Kolkata,Banglore,04:40:00,07:15:00,155,0,No Info,4804
Air Asia,2019-04-18,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,4409
Air India,2019-03-21,Chennai,Kolkata,11:40:00,13:55:00,135,0,No Info,3670
Multiple Carriers,2019-05-09,Delhi,Cochin,10:20:00,21:00:00,640,1,No Info,7670
Multiple Carriers,2019-03-06,Delhi,Cochin,07:00:00,15:30:00,510,1,No Info,15603
Spicejet,2019-04-27,Kolkata,Banglore,09:00:00,11:25:00,145,0,No check-in baggage included,3841
Jet Airways,2019-03-01,Mumbai,Hyderabad,07:10:00,08:35:00,85,0,No Info,17501
Multiple Carriers,2019-06-09,Delhi,Cochin,07:05:00,16:10:00,545,1,No Info,9646
Indigo,2019-06-01,Delhi,Cochin,05:10:00,10:05:00,295,1,No Info,6842
Multiple Carriers,2019-03-27,Delhi,Cochin,04:00:00,18:50:00,890,1,No Info,11299
Spicejet,2019-06-09,Delhi,Cochin,08:45:00,13:15:00,270,1,No Info,5264
Air India,2019-03-24,Kolkata,Banglore,07:00:00,01:20:00,1100,2,No Info,13428
Jet Airways,2019-06-06,Kolkata,Banglore,14:05:00,22:35:00,510,1,No Info,14571
Jet Airways,2019-06-27,Delhi,Cochin,11:30:00,19:00:00,450,1,No Info,14714
Air India,2019-05-01,Banglore,Delhi,10:00:00,12:45:00,165,0,No Info,6121
Jet Airways,2019-06-12,Delhi,Cochin,20:00:00,04:25:00,505,2,In-flight meal not included,12410
Air India,2019-05-15,Delhi,Cochin,03:50:00,19:15:00,925,1,No Info,8669
Jet Airways,2019-03-12,Banglore,Delhi,18:55:00,10:25:00,930,1,No Info,13817
Indigo,2019-03-24,Banglore,Delhi,01:30:00,04:15:00,165,0,No Info,4777
Vistara,2019-05-18,Kolkata,Banglore,20:20:00,10:45:00,865,1,No Info,9187
Indigo,2019-03-24,Chennai,Kolkata,11:35:00,14:00:00,145,0,No Info,4332
Air India,2019-06-12,Kolkata,Banglore,12:00:00,18:30:00,1830,2,No Info,9416
Spicejet,2019-03-27,Mumbai,Hyderabad,13:10:00,14:30:00,80,0,No Info,2017
Jet Airways,2019-06-01,Delhi,Cochin,10:00:00,19:00:00,540,1,No Info,14714
Multiple Carriers,2019-06-06,Delhi,Cochin,08:00:00,19:15:00,675,1,No Info,14848
Jet Airways,2019-05-18,Delhi,Cochin,20:55:00,04:25:00,450,1,No Info,15554
Air India,2019-03-15,Banglore,Delhi,11:50:00,11:35:00,1425,1,No Info,6982
Jet Airways,2019-06-09,Delhi,Cochin,11:30:00,19:00:00,450,1,No Info,14714
Multiple Carriers,2019-05-09,Delhi,Cochin,07:30:00,19:15:00,705,1,No Info,8266
Jet Airways,2019-06-09,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,In-flight meal not included,3210
Indigo,2019-03-27,Delhi,Cochin,06:40:00,21:00:00,860,1,No Info,8784
Jet Airways,2019-04-12,Banglore,Delhi,08:20:00,11:20:00,180,0,No Info,7229
Air Asia,2019-05-15,Kolkata,Banglore,19:55:00,22:25:00,150,0,No Info,4409
Air India,2019-05-09,Delhi,Cochin,06:05:00,09:25:00,1640,1,No Info,7480
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,21:05:00,690,1,In-flight meal not included,10703
Indigo,2019-06-03,Mumbai,Hyderabad,12:00:00,13:30:00,90,0,No Info,2754
Indigo,2019-05-01,Kolkata,Banglore,20:20:00,22:55:00,155,0,No Info,4804
Air Asia,2019-06-09,Kolkata,Banglore,19:55:00,22:25:00,150,0,No Info,4409
Air India,2019-05-15,Kolkata,Banglore,05:50:00,16:15:00,2065,2,No Info,12723
Air India,2019-05-09,Delhi,Cochin,13:20:00,07:40:00,1100,2,No Info,13538
Spicejet,2019-04-18,Banglore,Delhi,21:10:00,00:05:00,175,0,No check-in baggage included,5515
Spicejet,2019-05-18,Kolkata,Banglore,11:35:00,18:50:00,435,1,No Info,8479
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,09:45:00,1005,1,No Info,14151
Air India,2019-06-01,Banglore,Delhi,13:20:00,16:10:00,170,0,No Info,6961
Indigo,2019-03-15,Banglore,Delhi,16:55:00,21:50:00,295,1,No Info,5397
Jet Airways,2019-04-15,Banglore,Delhi,15:15:00,18:10:00,175,0,In-flight meal not included,4544
Air India,2019-06-09,Kolkata,Banglore,09:25:00,07:55:00,1350,1,No Info,8366
Multiple Carriers,2019-06-06,Delhi,Cochin,11:40:00,21:00:00,560,1,No Info,7005
Indigo,2019-06-03,Chennai,Kolkata,19:35:00,21:55:00,140,0,No Info,3597
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,10:05:00,775,1,In-flight meal not included,9663
Vistara,2019-06-09,Banglore,Delhi,17:00:00,19:35:00,155,0,No Info,4878
Air India,2019-05-18,Delhi,Cochin,05:10:00,08:00:00,170,0,No Info,6934
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,09:20:00,865,1,In-flight meal not included,9663
Air India,2019-05-24,Kolkata,Banglore,09:50:00,12:30:00,1600,2,No Info,15170
Jet Airways,2019-03-06,Banglore,Delhi,05:45:00,19:10:00,805,1,No Info,16736
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,04:40:00,875,1,In-flight meal not included,8586
